"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",2.76354240444899,3.09388331911263,1.4076790336497,1.61833800841515,1.48120628102052,1.2646967691051,1.71994177583697,2.66888492127901,1.71662222222222,2.76310603074497,1.75747814081914,1.83754305396096
"CD4T",1.70700411826172,1.8412415603901,3.51497113997114,3.76197779103121,3.77388125767484,2.58041958041958,3.43504155124654,1.95347890263144,0.990657500440684,2.19158200290276,1.29339486933589,2.44838356564256
"CD8T",2.30407482381167,1.98626832436445,1.99691148775895,2.51905084275026,2.30512318317699,2.81712418300654,2.81090357598978,2.93095370886782,1.54369984818911,2.24622699386503,3.30965005302227,3.14800473096677
"Monocyte",1.65578400158293,1.64919067494655,1.36664044059795,1.90734265734266,1.4325765333145,1.16044623362445,2.27901946647441,3.36432437003213,3.79080104747197,4.73239436619718,1.91222030981067,1.65563183237897
"NK",1.64993561837022,1.65011961722488,2.5022180273714,2.35260003161133,2.49567723342939,3.12593872112741,2.42821824381927,3.08149405772496,2.15407841953155,3.43893805309735,5.05935901647037,4.59011060507482
