"","B","CD4T","CD8T","Monocyte","NK"
"B",2.04852780806979,0.879792072774529,1.04180991783696,1.06696573208723,1.05021367521368
"CD4T",0.951621073961499,2.11061229579748,1.85683128213117,0.593051605038602,1.34405584340818
"CD8T",1.38685861941676,1.39300411522634,2.02188295165394,1.04522505102589,1.96117249846532
"Monocyte",1.09926120986029,0.747465622804376,0.650820692592471,2.2251158015098,0.906157817109145
"NK",1.07393395211192,1.54301994301994,1.96038080863785,1.26826470626572,2.66778416347382
