"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",3.07887218979009,3.64752559726962,1.88794599807136,2.31658196875588,2.04558156580695,1.71093229004579,2.12047616199079,3.66671126572117,2.43838383838384,2.79468438538206,1.9405487804878,2.33054240990171
"CD4T",2.23223615464995,2.64456316781898,5.30932703659976,5.43293070565798,5.631792030684,4.05104006163328,4.8131113181183,2.76612612612613,1.71028606208156,3.58429701765064,2.29344244871931,4.07360369111219
"CD8T",2.57514245014245,2.25110410094637,2.66434282059482,3.41800624153565,3.25644386194845,3.95183129855716,4.11616474147415,3.81179883945841,2.39349897253876,2.86322580645161,5.10682561944834,3.89144078712966
"Monocyte",2.20978691940579,1.90356288555961,2.31060857998005,2.45071353065539,2.21850393700787,2.44195523648649,2.6565257584671,5.09446525176862,5.95146442116519,5.55001805706031,3.26125244618395,2.45359209257473
"NK",1.74655346989641,2.11739282636794,3.15708231699805,2.95177638589287,3.47499361616751,4.33506969352507,3.32434640522876,3.07048872180451,3.02393387528952,3.78283185840708,7.82478876159867,6.0377358490566
