"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",0.000443627397231345,2.155387502409e-05,0.0976315203210643,0.021303404441499,0.0543017344996647,0.137642975550114,0.0626963202947132,0.0113524459827853,0.0240006671186417,0.019776529420198,0.275623364019656,0.02078062869432
"CD4T",0.013961692211805,0.0018552441121425,1.21241349167205e-11,2.61504835595163e-13,1.11820339334427e-13,1.69206583086384e-07,3.92163418157803e-09,0.0565042020346415,0.138826748528893,0.000867489584039014,0.142540381806855,1.53148267761192e-07
"CD8T",0.00342955045753632,0.0129836515014628,0.00267636889682429,1.39726085547242e-05,4.7738214319552e-05,2.18961595235459e-07,5.57225953418983e-07,0.00474627262673967,0.0126118010662536,0.00661022787242503,0.000406163346045849,2.80164528434519e-07
"Monocyte",0.0031397151986972,0.0150919891245824,0.00147902576146031,0.000530631441076672,0.00304680249944966,0.000561484778018172,0.000486269181553762,6.57555575960703e-08,1.10008530165306e-27,7.51739958880139e-17,0.00979041322093812,0.000363045695587373
"NK",0.021194428942411,0.00158740793589746,3.31387187347996e-08,3.77713288498769e-07,2.74372824570422e-10,2.28674960238616e-17,3.20785068670471e-08,0.00258454626914949,1.15091155784496e-06,6.62135453979243e-08,1.10407251234872e-13,2.3081802138438e-33
