"","B","CD4T","CD8T","Monocyte","NK"
"B",1.04452867167128e-05,0.256946958203978,0.0504412763462267,0.0437999603063864,0.0604189572501526
"CD4T",0.00749313568135156,2.44864174665584e-10,3.01860155106376e-10,0.00398145897200981,1.89333714611959e-08
"CD8T",0.014159062258423,0.000850124970381435,2.49352058230941e-08,0.00371505900752638,3.88241764013278e-07
"Monocyte",0.000320907019002639,0.00226318078074107,0.0013756894193876,5.19448022158469e-22,0.00120153723397643
"NK",0.00172002794376409,5.42317136153579e-08,1.89492684262356e-15,2.62084808918583e-08,7.9503641670806e-32
