"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",1.8030303030303,1.9872901119403,0.684894053315106,0.744563247553461,0.664816099930604,0.540410797198395,0.717073170731707,1.19535519125683,0.654666666666667,0.90463549111701,0.660932297447281,0.625641025641026
"CD4T",0.965888834872792,1.00770341839191,1.70877607241244,1.63923317502606,1.68345829428304,1.03727200634417,1.3586649550706,0.686597614563716,0.335382513661202,0.631638981963356,0.407318741450068,0.800690846286701
"CD8T",1.38126882863725,1.18129938542581,1.01212121212121,1.18594531402221,1.1008682328907,1.29226804123711,1.2363330529857,1.19291070211316,0.587883141762452,0.72037844630054,1.13916786226686,1.1683241252302
"Monocyte",0.913216673780054,0.960865528815254,0.634779854292049,0.789109766637857,0.585813289849164,0.441633277810291,0.849165596919127,1.44279553526129,1.62122641509434,1.70039449834737,0.562721474131821,0.539823008849558
"NK",0.945970341715023,0.939512961508248,1.2011988011988,1.01263442156532,1.08863636363636,1.30743600799655,0.982078472958643,1.12007168458781,0.770397489539749,1.06746987951807,1.66016169500976,1.58927203065134
