"","B","CD4T","CD8T","Monocyte","NK"
"B",0.191176470588235,0.0579710144927536,0.0895522388059701,0.0952380952380952,0.0895522388059701
"CD4T",0.103448275862069,0.208333333333333,0.212765957446809,0.107142857142857,0.195652173913043
"CD8T",0.108108108108108,0.128205128205128,0.217948717948718,0.12,0.20253164556962
"Monocyte",0.112781954887218,0.0884353741496599,0.0921985815602837,0.265432098765432,0.101449275362319
"NK",0.0930232558139535,0.127551020408163,0.185929648241206,0.142045454545455,0.285714285714286
