"","B","CD4T","CD8T","Monocyte","NK"
"B",0.168674698795181,0.0705882352941176,0.0963855421686747,0.0909090909090909,0.0975609756097561
"CD4T",0.0900900900900901,0.190082644628099,0.176470588235294,0.0841121495327103,0.163793103448276
"CD8T",0.1,0.113207547169811,0.188679245283019,0.118811881188119,0.177570093457944
"Monocyte",0.0919540229885057,0.0769230769230769,0.0855614973262032,0.247663551401869,0.0983606557377049
"NK",0.0762331838565022,0.116465863453815,0.167330677290837,0.12719298245614,0.257028112449799
