"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",0.129770992366412,0.1484375,0.0526315789473684,0.0725806451612903,0.0610687022900763,0.0534351145038168,0.0666666666666667,0.0491803278688525,0.064,0.0847457627118644,0.0283018867924528,0.0769230769230769
"CD4T",0.0695187165775401,0.0752688172043011,0.131313131313131,0.15979381443299,0.154639175257732,0.102564102564103,0.126315789473684,0.0282485875706215,0.0327868852459016,0.0591715976331361,0.0174418604651163,0.0984455958549223
"CD8T",0.0994152046783626,0.0882352941176471,0.0777777777777778,0.115606936416185,0.101123595505618,0.127777777777778,0.114942528735632,0.049079754601227,0.0574712643678161,0.0674846625766871,0.0487804878048781,0.143646408839779
"Monocyte",0.0657276995305164,0.0717703349282297,0.0487804878048781,0.0769230769230769,0.0538116591928251,0.0436681222707424,0.0789473684210526,0.0593607305936073,0.158490566037736,0.15929203539823,0.0240963855421687,0.0663716814159292
"NK",0.0680851063829787,0.0701754385964912,0.0923076923076923,0.0987124463519313,0.1,0.129277566539924,0.091304347826087,0.0460829493087558,0.0753138075313808,0.1,0.0710900473933649,0.195402298850575
