"","B","CD4T","CD8T","Monocyte","NK"
"B",1.75827360073204,0.759958720330237,0.918226095872853,0.710330578512397,0.8600897949278
"CD4T",0.939103660622648,2.0464453143879,1.68116395494368,0.657221750212404,1.44398696174301
"CD8T",1.04240506329114,1.21880172128434,1.7974708952228,0.928352835283528,1.56544380899242
"Monocyte",0.958533391532082,0.828160143949618,0.81510979633633,1.93515293118097,0.867139711279667
"NK",0.794658568428223,1.25388102116067,1.59409171823345,0.99383971291866,2.26593937940818
