"","B","CD4T","CD8T","Monocyte","NK"
"B",0.137404580152672,0.0526315789473684,0.0687022900763359,0.088,0.0769230769230769
"CD4T",0.0638297872340425,0.126262626262626,0.122448979591837,0.0489130434782609,0.0984455958549223
"CD8T",0.0930232558139535,0.0833333333333333,0.133333333333333,0.0862068965517241,0.143646408839779
"Monocyte",0.0737327188940092,0.0447154471544715,0.0429184549356223,0.183520599250936,0.0663716814159292
"NK",0.0720338983050847,0.0923076923076923,0.129277566539924,0.104602510460251,0.195402298850575
