"","B IN","B Mem","CD4 NC","CD4 ET","CD8 NC","CD8 ET","CD8 S100B","DC","Mono C","Mono NC","NK R","NK"
"B",1.64219140713799,1.87090909090909,0.677237851662404,0.832554112554113,0.702441344324667,0.52289156626506,0.69803454437165,1.30708294501398,0.707317073170732,0.764625850340136,0.5107421875,0.58992477775245
"CD4T",1.03259005145798,1.15577395577396,1.90298239310097,1.84923076923077,1.92206477732794,1.16468926553672,1.50314223419264,0.773793103448276,0.440404970087437,0.863287250384025,0.505476804123711,0.99041250402836
"CD8T",1.26205450733753,1.06909090909091,0.995624829094886,1.25699346405229,1.18984962406015,1.29654088050314,1.42947338212082,1.23477622890682,0.693310794494084,0.7673664447858,1.2301747311828,1.07371822866626
"Monocyte",0.996358821582258,0.885637439483593,0.791274465859854,0.792015503875969,0.694078947368421,0.664684684684685,0.781541744465191,1.73886090662534,1.93598992327951,1.66649223792081,0.67166095890411,0.594760226750421
"NK",0.818629950705422,0.962688496337785,1.11739712473081,0.992477064220184,1.15972684876749,1.29681274900398,1.06159420289855,0.888282899366643,0.822606640163318,0.981269841269841,1.79695680628272,1.55417933415907
