"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",3.70300940532746e-09,0.00191017976733814,0.000427026753600766,0.170861914108199,0.00506668921344578,4.63146830938363e-06
"Exc",1.35323873777476e-12,1.46716219320587e-15,2.37852343008547e-13,2.48432983266137e-12,1.75234300126374e-12,4.71702841945979e-11
"Inh",0.245504385520963,0.275076124762467,0.0160481991598778,0.164523789965272,0.176153367542491,0.0280453948776322
"Micro",0.00653456367029762,0.000454784233898906,0.00281784755534571,0.126664409963154,0.00441872415429727,0.036409956839353
"Oligo",8.27635472804019e-05,8.55796224834237e-06,2.09506068704748e-06,0.0514917477466509,3.71003540906892e-07,0.0250367487042288
"OPC",1.22201403862804e-05,0.000844252106172653,0.00566075680136512,0.167986727013789,0.0004688951047386,0.00193040510075434
