"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.64959604829473e-08,0.00556602804714835,0.0236911750351739,0.00118525323301055,1.4171692649345e-06,0.0104602613639783
"Exc",6.23449663387515e-08,5.06657323289761e-13,1.1995224504596e-13,0.000266824250881397,2.98636229958608e-15,3.37844943036158e-06
"Inh",0.176688380771363,0.243535916749154,0.737591015941437,0.0159918310161416,0.000450030327039991,0.0400283530875555
"Micro",0.0835764966808972,0.173804698910319,0.207095959423983,0.0414994723451264,0.219787428409871,0.474196426344198
"Oligo",0.0010614200612804,0.000121683122129914,3.08939751584936e-07,0.00594563683201887,3.58228277903982e-08,0.000115890557105728
"OPC",0.0554590600119847,0.0131110436401274,0.384904835862899,0.000676898055146213,4.6769377553983e-07,0.000772110054180292
