"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.113636363636364,0.0497737556561086,0.0531400966183575,0.0555555555555556,0.111842105263158,0.0786516853932584
"Exc",0.2,0.164319248826291,0.170103092783505,0.216981132075472,0.205128205128205,0.171052631578947
"Inh",0.0265486725663717,0.0326086956521739,0.032967032967033,0.06875,0.0833333333333333,0.0460251046025105
"Micro",0.0666666666666667,0.0582010582010582,0.0666666666666667,0.0567375886524823,0.08125,0.0555555555555556
"Oligo",0.0880829015544041,0.0689655172413793,0.0980392156862745,0.0962962962962963,0.15609756097561,0.0695187165775401
"OPC",0.0841121495327103,0.0539419087136929,0.0598290598290598,0.0559440559440559,0.0909090909090909,0.0810810810810811
