"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",5.6161306042885,3.87985945823416,3.23108946863804,4.4356620093147,3.3111337061515,4.538789428815
"Exc",3.62822163672022,4.54096269492099,4.45765169338513,3.08587953729557,4.665265169613,3.34386903682206
"Inh",1.35318078953985,1.2779655728327,0.844468927887516,2.08378112464997,2.17569025336016,1.67487325382062
"Micro",2.20428751576293,2.07692307692308,2.25423413363112,1.48745519713262,1.41121366579419,1.46270797475617
"Oligo",4.21471104828,4.6774011299435,5.54323899371069,3.96837606837607,5.49061433447099,4.13152578415736
"OPC",2.15196666666667,2.17569124423963,1.56050349972636,3.53861665658399,3.877004338804,2.2003068768308
