"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",8.73183667538506,6.75339673913043,6.09249601622483,4.98949357520786,5.03146114864865,6.50014297969688
"Exc",2.58083538083538,5.6920133051969,4.46110630942092,5.17056405418155,2.85904830569575,2.98900667451904
"Inh",2.61354581673307,4.9841642228739,2.84124519372967,3.78409090909091,2.89145183175034,4.05057471264368
"Micro",2.29970942299709,0,8.12361111111111,5.79066985645933,3.91914893617021,5.8125
"Oligo",4.03757380568975,4.50434290030211,4.26296529968454,4.43398392652124,9.61015989811801,2.43002717391304
"OPC",2.1266849888758,2.16198347107438,1.66944444444444,4.3518628030751,2.569650605161,4.2170865279299
