"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.44353631863704,0.93854033290653,1.0056358735604,0.693693693693694,0.846632710809281,1.35856079404466
"Exc",1.56164383561644,1.69642266746016,1.51104565537555,2.2577766445691,1.46828609986505,1.61120543293718
"Inh",0.43989967200463,0.426217857604342,0.603706972639012,0.588985211626721,0.474032764029279,0.639585822381521
"Micro",0.926398885535175,1.22257227575982,0.987012987012987,0.770770770770771,0.970561998215879,0.78494623655914
"Oligo",1.20126448893572,1.443131909738,1.55454545454545,0.929054054054054,1.52701754385965,0.845326716294458
"OPC",1.1882072662299,1.03239436619718,0.832792207792208,0.730203888098625,1.07858687815429,1.0128338536247
