"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",3.22333169372028,2.15527972656953,1.8500207805947,2.9314455201746,3.14762093053908,2.0562091503268
"Exc",3.62822163672022,4.54096269492099,4.45765169338513,3.08587953729557,4.665265169613,3.34386903682206
"Inh",1.35318078953985,1.2779655728327,0.844468927887516,2.08378112464997,2.17569025336016,1.67487325382062
"Micro",1.63977485928705,1.43921993499458,1.37632888058382,1.85931899641577,1.32845730884947,1.09053967348685
"Oligo",2.23839666713855,2.6028129395218,3.13478090766823,2.38971551562792,3.18626324072928,2.68151913875598
"OPC",1.63027777777778,1.9429012345679,1.14727806641066,2.66051548624648,3.04141545983798,2.29746328437917
