"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.184873949579832,0.0909090909090909,0.113207547169811,0.0666666666666667,0.118279569892473,0.144230769230769
"Exc",0.2,0.164319248826291,0.170103092783505,0.216981132075472,0.205128205128205,0.171052631578947
"Inh",0.0563380281690141,0.0412844036697248,0.0679611650485437,0.0566037735849057,0.0662251655629139,0.0679012345679012
"Micro",0.11864406779661,0.118421052631579,0.111111111111111,0.0740740740740741,0.135593220338983,0.0833333333333333
"Oligo",0.153846153846154,0.139784946236559,0.175,0.0892857142857143,0.213333333333333,0.0897435897435897
"OPC",0.152173913043478,0.1,0.09375,0.0701754385964912,0.150684931506849,0.10752688172043
