"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.237864077669903,0.140350877192982,0.145833333333333,0.145833333333333,0.16793893129771,0.137931034482759
"Exc",0.109090909090909,0.19634703196347,0.174157303370787,0.183098591549296,0.131578947368421,0.111111111111111
"Inh",0.0566037735849057,0.0529100529100529,0.0335570469798658,0.0810810810810811,0.0648148148148148,0.0505050505050505
"Micro",0.0512820512820513,0,0.0769230769230769,0.113207547169811,0.0833333333333333,0.0857142857142857
"Oligo",0.0847457627118644,0.0759493670886076,0.0923076923076923,0.0571428571428571,0.218390804597701,0.0655737704918033
"OPC",0.0714285714285714,0.0535714285714286,0.0606060606060606,0.112903225806452,0.117021276595745,0.0978260869565217
