"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",2.67189038398425,1.62834063914027,1.46483562213899,1.53523035230352,2.30609532938306,2.14957547409629
"Exc",4.57150997150997,5.04127762831672,4.4871700464484,5.90070861436011,4.24485556637455,4.59206020187455
"Inh",0.632818871001842,1.00698243593435,0.91981286040692,1.96982044198895,1.76434223541048,1.30252940062331
"Micro",1.75653594771242,1.91385421482509,1.96747181964573,1.58349451966473,1.81368801652893,1.8046820405311
"Oligo",2.10271502590674,2.11986863711002,2.50520721108956,2.64755372656607,3.2366984332095,1.87215520457655
"OPC",2.13234726191396,1.78384123529012,1.73504273504274,1.47833775419982,1.96559343434343,2.22404304757246
