"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.19660460021906,0.652036199095023,0.644897715751178,0.643162393162393,0.926368952684742,0.964044943820225
"Exc",2.10602409638554,2.15258215962441,2.0643375334097,2.51197387518142,1.6990416990417,2.09661654135338
"Inh",0.279560720759143,0.427173913043478,0.4000814000814,0.795913461538462,0.69023569023569,0.564136282127914
"Micro",0.702008032128514,0.762433862433862,0.809053497942387,0.656846699399891,0.672979797979798,0.680952380952381
"Oligo",0.927523565765653,0.903448275862069,1.18978455579763,1.11481481481481,1.29292929292929,0.852100840336134
"OPC",0.885711068573359,0.706639004149378,0.726073651999578,0.647660032275417,0.752984389348026,0.993822393822394
