"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",3.65710551903368e-23,6.92727545133491e-09,2.38880178162054e-07,5.05887626777256e-06,1.31650540016312e-07,1.62517693146839e-07
"Exc",0.00225931116219696,4.86669913547976e-21,1.50039058355431e-12,8.97735275838124e-07,0.000213773498453344,0.000633558831156793
"Inh",0.236325460101721,0.0863386907970779,0.624966596655872,0.0344816606154254,0.166670753560752,0.226504364617865
"Micro",0.46023189160311,1,0.173164416177163,0.0117903656495866,0.195866317211366,0.117742678145147
"Oligo",0.109164496473322,0.0559536854648948,0.0344632686724888,0.344114536394342,1.82357438792558e-08,0.173601892279785
"OPC",0.158305490348358,0.198974585748448,0.203107349052936,0.00670537122277091,0.00433209796727339,0.00903181023361849
