"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",2.12823439878234,1.37936495367804,1.27066286659925,1.83944444444444,0.966917293233083,1.70380434782609
"Exc",1.44975572372833,1.78415055690693,1.93192619513559,1.33673913043478,1.51343576332135,1.3628355704698
"Inh",0.527631139325092,0.48972602739726,0.340060650423507,0.890924657534247,0.722841083290751,0.673986486486487
"Micro",0.738827756568605,0.727530905446041,0.824961948249619,0.656944444444444,0.443830888697153,0.508928571428571
"Oligo",1.55074385034615,1.71894590201997,2.31144998707676,1.57666666666667,1.69210526315789,1.54375
"OPC",0.793205479452055,0.769774635439682,0.597958996046704,1.63103448275862,1.24681440443213,0.877332089552239
