"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",3.99561124088625,2.79798005756579,2.661500710319,1.70581150255947,1.99540696432386,3.28785765318273
"Exc",4.57150997150997,5.04127762831672,4.4871700464484,5.90070861436011,4.24485556637455,4.59206020187455
"Inh",0.632818871001842,1.00698243593435,0.91981286040692,1.96982044198895,1.76434223541048,1.30252940062331
"Micro",2.36456762192056,3.39005104594135,3.20783448855282,1.61791831357049,2.31920145969733,2.10936861880258
"Oligo",3.6376380952381,4.1328531412565,4.13717076574219,3.05486968449931,4.9764238410596,2.9922480620155
"OPC",3.62160566706021,3.02928294331122,2.1219512195122,1.53190071630851,2.91526217228464,2.42742161534457
