"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.236111111111111,0.115606936416185,0.114093959731544,0.155555555555556,0.142857142857143,0.159420289855072
"Exc",0.160839160839161,0.149532710280374,0.173469387755102,0.11304347826087,0.22360248447205,0.12751677852349
"Inh",0.0585365853658537,0.041044776119403,0.0305343511450382,0.0753424657534247,0.106796116504854,0.0630630630630631
"Micro",0.0819672131147541,0.0609756097560976,0.0740740740740741,0.0555555555555556,0.0655737704918033,0.0476190476190476
"Oligo",0.172043010752688,0.144067796610169,0.207547169811321,0.133333333333333,0.25,0.144444444444444
"OPC",0.088,0.0645161290322581,0.0536912751677852,0.137931034482759,0.184210526315789,0.082089552238806
