"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.88888888888889,1.40108207431605,1.53273273273273,1.29819040125885,1.11583924349882,1.65827941528876
"Exc",0.618181818181818,1.36448760187272,1.34681647940075,1.62426169922762,0.862573099415205,0.985754985754986
"Inh",0.419753086419753,0.731512325116589,0.495726495726496,0.788530465949821,0.524444444444444,0.755046372067649
"Micro",0.53968253968254,0,1.16,0.985663082437276,0.437037037037037,0.93387314439946
"Oligo",0.833333333333333,0.906439185470556,1.22105263157895,0.844854070660522,2.49111111111111,0.506959706959707
"OPC",0.456989247311828,0.434335443037975,0.423744292237443,1.15708274894811,0.771241830065359,1.22840236686391
