"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.79757281553398,1.28270042194093,1.40893817204301,1.33552631578947,1.263417498532,1.54679802955665
"Exc",0.824415584415584,1.79446274781805,1.68258426966292,1.6767976278725,0.989878542510121,1.24603174603175
"Inh",0.427762803234501,0.483557698747572,0.324204373240961,0.7425320056899,0.487606837606838,0.566378066378066
"Micro",0.387545787545788,0,0.74317617866005,1.03674280039722,0.626923076923077,0.961224489795918
"Oligo",0.64043583535109,0.694119532126262,0.89181141439206,0.523308270676692,1.64297082228117,0.73536299765808
"OPC",0.539795918367347,0.489602169981917,0.585532746823069,1.0339558573854,0.880360065466449,1.09704968944099
