"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",2.05315315315315,1.44115942028985,1.63118131868132,1.25132275132275,1.3359375,1.73388773388773
"Exc",0.578181818181818,1.18331811263318,1.16623194221509,1.31220657276995,0.75,0.834834834834835
"Inh",0.543589743589744,0.972043010752688,0.683309037900875,0.895833333333333,0.690909090909091,1.0018018018018
"Micro",0.481818181818182,0,2.00892857142857,1.50877192982456,0.95,1.5027027027027
"Oligo",0.921739130434783,0.941666666666667,1.07142857142857,1.1025641025641,2.61891891891892,0.653349001175088
"OPC",0.490740740740741,0.456565656565657,0.446428571428571,1.13157894736842,0.687931034482759,1.22948402948403
