"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",4.77325688517512e-30,6.03915041975979e-13,1.30898585639984e-10,9.22099607423377e-06,1.56971129832376e-07,1.42789153273995e-10
"Exc",0.00225931116219696,4.86669913547976e-21,1.50039058355431e-12,8.97735275838124e-07,0.000213773498453344,0.000633558831156793
"Inh",0.0651139484837648,2.59670209645593e-05,0.0303037659225224,0.0200460366239361,0.0475725289413854,0.0159720153982716
"Micro",0.358582577829481,1,0.00491683549786288,0.00426357200984473,0.229613097321894,0.0441785872818426
"Oligo",0.0156375651379235,0.00453838770749369,0.0132010658127667,0.0726887972396395,1.65966052046261e-13,0.198160295761581
"OPC",0.0845063532349977,0.0808254702478953,0.217241435704425,0.00219982860402338,0.0180948595500507,0.00022955103139253
