"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.387387387387387,0.239130434782609,0.243589743589744,0.174603174603175,0.234375,0.230769230769231
"Exc",0.109090909090909,0.19634703196347,0.174157303370787,0.183098591549296,0.131578947368421,0.111111111111111
"Inh",0.102564102564103,0.161290322580645,0.102040816326531,0.125,0.121212121212121,0.133333333333333
"Micro",0.0909090909090909,0,0.3,0.210526315789474,0.166666666666667,0.2
"Oligo",0.173913043478261,0.15625,0.16,0.153846153846154,0.459459459459459,0.0869565217391304
"OPC",0.0925925925925926,0.0757575757575758,0.0666666666666667,0.157894736842105,0.120689655172414,0.163636363636364
