"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.169934640522876,0.0855263157894737,0.096551724137931,0.0617283950617284,0.0967741935483871,0.120300751879699
"Exc",0.2,0.164319248826291,0.170103092783505,0.216981132075472,0.205128205128205,0.171052631578947
"Inh",0.0265486725663717,0.0326086956521739,0.032967032967033,0.06875,0.0833333333333333,0.0460251046025105
"Micro",0.0897435897435897,0.103092783505155,0.108695652173913,0.0579710144927536,0.103896103896104,0.0649350649350649
"Oligo",0.152380952380952,0.134453781512605,0.161904761904762,0.111111111111111,0.24,0.111111111111111
"OPC",0.142857142857143,0.0916030534351145,0.0731707317073171,0.0579710144927536,0.134831460674157,0.0884955752212389
