"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",3.4334473047766e-31,9.78713295054165e-13,3.33798905165663e-10,2.35248257941065e-05,5.82742299212598e-06,7.46811285623815e-10
"Exc",0.00225931116219696,4.86669913547976e-21,1.50039058355431e-12,8.97735275838124e-07,0.000213773498453344,0.000633558831156793
"Inh",0.160818437730383,0.00095477762087122,0.148081321649495,0.059888783836495,0.156181506938199,0.0677465059791424
"Micro",0.200623268442958,1,0.0356138007199105,0.0401968437102747,0.479361785755162,0.137527581884675
"Oligo",0.0143114994511013,0.00483672388141629,0.00266636214908929,0.163870171308677,4.07389340982172e-13,0.358062148969118
"OPC",0.131674552563124,0.148473402944828,0.333194054704545,0.00587380961628104,0.0137209750370339,0.000822931212083894
