"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",1.79033818023328e-18,5.78720058181978e-07,3.27591132314679e-05,2.6780491751087e-05,6.39344196052479e-06,6.29104621527394e-09
"Exc",6.23449663387515e-08,5.06657323289761e-13,1.1995224504596e-13,0.000266824250881397,2.98636229958608e-15,3.37844943036158e-06
"Inh",0.176688380771363,0.243535916749154,0.737591015941437,0.0159918310161416,0.000450030327039991,0.0400283530875555
"Micro",0.0560898455249953,0.067662288283339,0.0952019626676498,0.0846937810568837,0.0581964346403865,0.234128091706911
"Oligo",7.32844059766747e-07,4.03129322385444e-10,5.20668521321077e-11,0.00255306190904282,2.46872227261161e-10,7.29452834485872e-05
"OPC",0.00900634732344075,0.0264437339102679,0.167087917223542,0.000246134418477914,1.69061682012227e-07,0.0083458384472047
