"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",5.36153304102725,3.96371610845295,3.64748116760829,4.16736111111111,3.60524035485868,3.88514293039354
"Exc",2.58083538083538,5.6920133051969,4.46110630942092,5.17056405418155,2.85904830569575,2.98900667451904
"Inh",1.44238141772533,1.63501683501684,0.934369224783581,2.45454545454545,1.54612354892206,1.53430860327412
"Micro",1.29727198220349,0,2.08297720797721,3.11385077186964,1.95957446808511,2.49107142857143
"Oligo",1.96746181209458,2.18945275153926,2.45940305751031,1.64690831556503,4.56791237888909,1.83247950819672
"OPC",1.64058556284705,1.52883116883117,1.51767676767677,3.11181587531714,2.49154572354516,2.5210843373494
