"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",2,1.23544303797468,1.19946808510638,1.67747747747748,0.967288781858318,1.55172413793103
"Exc",1.48776223776224,1.84739145865373,2.05880773361976,1.50347826086957,1.63297571993224,1.43456375838926
"Inh",0.541463414634146,0.50708482901946,0.362394535958216,1.00205479452055,0.779935275080906,0.709459459459459
"Micro",0.75,0.756393696719194,0.741776315789474,1.05555555555556,0.681616161616162,0.592105263157895
"Oligo",1.38385826771654,1.79842973882391,2.10432997387085,1.36022727272727,1.51097178683386,1.30165289256198
"OPC",0.791118421052632,0.711511697262907,0.593421052631579,1.60092592592593,1.18288518992744,0.886363636363636
