"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.135514018691589,0.0642201834862385,0.0653266331658292,0.102803738317757,0.135802469135802,0.0722222222222222
"Exc",0.160839160839161,0.149532710280374,0.173469387755102,0.11304347826087,0.22360248447205,0.12751677852349
"Inh",0.0585365853658537,0.041044776119403,0.0305343511450382,0.0753424657534247,0.106796116504854,0.0630630630630631
"Micro",0.0609756097560976,0.0422535211267606,0.0452261306532663,0.0694444444444444,0.0617283950617284,0.0355029585798817
"Oligo",0.0913705583756345,0.080168776371308,0.117370892018779,0.0802919708029197,0.145077720207254,0.09375
"OPC",0.0666666666666667,0.0576131687242798,0.0394736842105263,0.103703703703704,0.144508670520231,0.0857142857142857
