"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",4.34687376755756,2.97407670454545,3.12062751748993,1.84227642276423,2.43883073417361,3.94187260703098
"Exc",4.57150997150997,5.04127762831672,4.4871700464484,5.90070861436011,4.24485556637455,4.59206020187455
"Inh",1.34288323799452,1.27489519411872,1.8961837931366,1.62180756801835,1.40212627979641,1.92163288116649
"Micro",3.12603855101363,3.89409810935105,3.27911969940955,2.06734006734007,3.0267544474016,2.70702306079665
"Oligo",3.67261538461538,4.29672299027138,4.47179487179487,2.45480599647266,4.42348785871965,2.41681574239714
"OPC",3.85779734099892,3.30696721311475,2.71875,1.8544061302682,3.25803843226788,2.94944776918211
