"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.216216216216216,0.1,0.101063829787234,0.126126126126126,0.132450331125828,0.137931034482759
"Exc",0.160839160839161,0.149532710280374,0.173469387755102,0.11304347826087,0.22360248447205,0.12751677852349
"Inh",0.0585365853658537,0.041044776119403,0.0305343511450382,0.0753424657534247,0.106796116504854,0.0630630630630631
"Micro",0.0810810810810811,0.0612244897959184,0.0625,0.0793650793650794,0.0933333333333333,0.0526315789473684
"Oligo",0.149606299212598,0.145569620253165,0.177304964539007,0.102272727272727,0.206896551724138,0.115702479338843
"OPC",0.0855263157894737,0.0575916230366492,0.05,0.12037037037037,0.161971830985915,0.0787878787878788
