"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",5.74129910470159e-06,0.0761395314234535,0.131478568668281,0.195470514856659,0.00102591134223486,0.00542477941724174
"Exc",1.35323873777476e-12,1.46716219320587e-15,2.37852343008547e-13,2.48432983266137e-12,1.75234300126374e-12,4.71702841945979e-11
"Inh",0.918641145681311,0.53998516439124,0.649673825142976,0.0234177335270843,0.0133783439380626,0.224379962059827
"Micro",0.0481803380048557,0.028834468903505,0.0187475630049038,0.131516265049665,0.0264892049837582,0.0611472337399134
"Oligo",0.00282979362734795,0.00362149726451367,0.000130473613055966,0.00111148580064391,2.24177221724238e-09,0.0212425506152632
"OPC",0.00184780260574013,0.0309177753224654,0.0312575084952467,0.172858522984628,0.00445420421308365,0.00114362997921457
