"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",8.98513172630558e-10,0.000747730667404735,0.000749226976447917,0.168374196224597,0.0166489111777884,2.38516371541193e-05
"Exc",1.35323873777476e-12,1.46716219320587e-15,2.37852343008547e-13,2.48432983266137e-12,1.75234300126374e-12,4.71702841945979e-11
"Inh",0.918641145681311,0.53998516439124,0.649673825142976,0.0234177335270843,0.0133783439380626,0.224379962059827
"Micro",0.027724954170178,0.000680715612861376,0.00102322465314878,0.233439243000532,0.0210701939956538,0.0875236640697068
"Oligo",6.13158043691113e-06,1.31201404972981e-06,5.29216739853493e-07,0.00424976765715034,2.91801020533102e-11,0.00101915456228621
"OPC",6.71491539754248e-06,0.000584083445270879,0.0258848945752459,0.264020731025252,0.000739421821155064,0.00788508260750494
