"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",5.14291133238502,3.35607843137255,2.8620820668693,3.59648271025517,3.06992529047159,3.92697768762678
"Exc",3.62822163672022,4.54096269492099,4.45765169338513,3.08587953729557,4.665265169613,3.34386903682206
"Inh",1.35318078953985,1.2779655728327,0.844468927887516,2.08378112464997,2.17569025336016,1.67487325382062
"Micro",2.18045738045738,2.08540031397174,1.90201005025126,2.12493599590374,2.00862745098039,1.61667723525682
"Oligo",3.6650563101923,4.72616033755274,4.73552009456265,3.04392482517482,4.54395669059668,3.30942306931868
"OPC",2.09147478070175,1.942174644727,1.45321888412017,3.08809833225038,3.40895552526629,2.11180968564146
