"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",0.333333333333333,0.201612903225806,0.198198198198198,0.146341463414634,0.170212765957447,0.186915887850467
"Exc",0.109090909090909,0.19634703196347,0.174157303370787,0.183098591549296,0.131578947368421,0.111111111111111
"Inh",0.0740740740740741,0.105263157894737,0.0641025641025641,0.0888888888888889,0.08,0.0851063829787234
"Micro",0.0952380952380952,0,0.15,0.111111111111111,0.0666666666666667,0.105263157894737
"Oligo",0.147058823529412,0.130434782608696,0.157894736842105,0.0952380952380952,0.38,0.0571428571428571
"OPC",0.0806451612903226,0.0625,0.0547945205479452,0.130434782608696,0.117647058823529,0.138461538461538
