"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",4.50835194675017e-17,1.85766033658667e-07,1.79245898555007e-05,2.19022570748103e-06,1.16599617145636e-05,1.76782014829698e-09
"Exc",6.23449663387515e-08,5.06657323289761e-13,1.1995224504596e-13,0.000266824250881397,2.98636229958608e-15,3.37844943036158e-06
"Inh",0.176688380771363,0.243535916749154,0.737591015941437,0.0159918310161416,0.000450030327039991,0.0400283530875555
"Micro",0.0751658939345947,0.0925323752621759,0.0494724414719574,0.327903579116713,0.314507207824374,0.337356684292525
"Oligo",8.36361589312347e-07,1.00070320106473e-07,3.16498203490931e-11,0.000785673005033951,7.98673704120853e-11,1.22301316645681e-05
"OPC",0.0128857132375245,0.0166976637426015,0.140961175400264,0.000115709246747694,6.10460128026922e-08,0.0110603631598509
