"","Astrocytes","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPCs / COPs"
"Astro",7.51344086021505,5.69384622434018,4.95719448261821,4.18188153310105,3.65405405405405,5.26491331688844
"Exc",2.58083538083538,5.6920133051969,4.46110630942092,5.17056405418155,2.85904830569575,2.98900667451904
"Inh",1.88756086764055,3.25282296650718,1.78488480118915,2.69090909090909,1.90835820895522,2.58547322083639
"Micro",2.40921939552077,0,4.06180555555556,3.05618686868687,1.56765957446809,3.05921052631579
"Oligo",3.41412490922295,3.76014711677394,4.20687365100448,2.74484719260839,7.94816753926702,1.596875
"OPC",1.85227402256925,1.78363636363636,1.37214611872146,3.59501709819248,2.50486949746786,3.56830398517145
